Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
Abidjan,PM2.5 - Principal,2022-06-01 01:00 AM,2022,06,01,01,12.9,53,Moderate,19.0,UG/M3,1 Hr,Valid
Abidjan,PM2.5 - Principal,2022-06-01 02:00 AM,2022,06,01,02,11.9,50,Good,11.0,UG/M3,1 Hr,Valid
Abidjan,PM2.5 - Principal,2022-06-01 03:00 AM,2022,06,01,03,10.4,43,Good,9.0,UG/M3,1 Hr,Valid
Abidjan,PM2.5 - Principal,2022-06-01 04:00 AM,2022,06,01,04,11.7,49,Good,13.0,UG/M3,1 Hr,Valid
Abidjan,PM2.5 - Principal,2022-06-01 05:00 AM,2022,06,01,05,10.3,43,Good,9.0,UG/M3,1 Hr,Valid
Abidjan,PM2.5 - Principal,2022-06-01 06:00 AM,2022,06,01,06,9.6,40,Good,9.0,UG/M3,1 Hr,Valid
Abidjan,PM2.5 - Principal,2022-06-01 07:00 AM,2022,06,01,07,13.3,54,Moderate,17.0,UG/M3,1 Hr,Valid
Abidjan,PM2.5 - Principal,2022-06-01 08:00 AM,2022,06,01,08,13.1,53,Moderate,13.0,UG/M3,1 Hr,Valid
Abidjan,PM2.5 - Principal,2022-06-01 09:00 AM,2022,06,01,09,12.0,50,Good,11.0,UG/M3,1 Hr,Valid
Abidjan,PM2.5 - Principal,2022-06-01 10:00 AM,2022,06,01,10,10.5,44,Good,9.0,UG/M3,1 Hr,Valid
Abidjan,PM2.5 - Principal,2022-06-01 11:00 AM,2022,06,01,11,11.2,47,Good,12.0,UG/M3,1 Hr,Valid
Abidjan,PM2.5 - Principal,2022-06-01 12:00 PM,2022,06,01,12,9.6,40,Good,8.0,UG/M3,1 Hr,Valid
Abidjan,PM2.5 - Principal,2022-06-01 01:00 PM,2022,06,01,13,8.8,37,Good,8.0,UG/M3,1 Hr,Valid
Abidjan,PM2.5 - Principal,2022-06-01 02:00 PM,2022,06,01,14,7.9,33,Good,7.0,UG/M3,1 Hr,Valid
Abidjan,PM2.5 - Principal,2022-06-01 03:00 PM,2022,06,01,15,8.4,35,Good,9.0,UG/M3,1 Hr,Valid
Abidjan,PM2.5 - Principal,2022-06-01 04:00 PM,2022,06,01,16,8.7,36,Good,9.0,UG/M3,1 Hr,Valid
Abidjan,PM2.5 - Principal,2022-06-01 05:00 PM,2022,06,01,17,7.3,30,Good,6.0,UG/M3,1 Hr,Valid
Abidjan,PM2.5 - Principal,2022-06-01 06:00 PM,2022,06,01,18,6.1,25,Good,5.0,UG/M3,1 Hr,Valid
Abidjan,PM2.5 - Principal,2022-06-01 07:00 PM,2022,06,01,19,5.0,21,Good,4.0,UG/M3,1 Hr,Valid
Abidjan,PM2.5 - Principal,2022-06-01 08:00 PM,2022,06,01,20,5.0,21,Good,5.0,UG/M3,1 Hr,Valid
Abidjan,PM2.5 - Principal,2022-06-01 09:00 PM,2022,06,01,21,5.0,21,Good,5.0,UG/M3,1 Hr,Valid
Abidjan,PM2.5 - Principal,2022-06-01 10:00 PM,2022,06,01,22,6.5,27,Good,8.0,UG/M3,1 Hr,Valid
Abidjan,PM2.5 - Principal,2022-06-01 11:00 PM,2022,06,01,23,7.2,30,Good,8.0,UG/M3,1 Hr,Valid
Abidjan,PM2.5 - Principal,2022-06-02 12:00 AM,2022,06,02,00,9.1,38,Good,11.0,UG/M3,1 Hr,Valid
Abidjan,PM2.5 - Principal,2022-06-02 01:00 AM,2022,06,02,01,10.0,42,Good,11.0,UG/M3,1 Hr,Valid
Abidjan,PM2.5 - Principal,2022-06-02 02:00 AM,2022,06,02,02,9.5,40,Good,9.0,UG/M3,1 Hr,Valid
Abidjan,PM2.5 - Principal,2022-06-02 03:00 AM,2022,06,02,03,8.7,36,Good,8.0,UG/M3,1 Hr,Valid
Abidjan,PM2.5 - Principal,2022-06-02 04:00 AM,2022,06,02,04,9.8,41,Good,11.0,UG/M3,1 Hr,Valid
Abidjan,PM2.5 - Principal,2022-06-02 05:00 AM,2022,06,02,05,12.4,52,Moderate,15.0,UG/M3,1 Hr,Valid
Abidjan,PM2.5 - Principal,2022-06-02 06:00 AM,2022,06,02,06,16.7,61,Moderate,21.0,UG/M3,1 Hr,Valid
Abidjan,PM2.5 - Principal,2022-06-02 07:00 AM,2022,06,02,07,25.8,80,Moderate,35.0,UG/M3,1 Hr,Valid
