Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
Abu Dhabi,O3,2018-11-01 01:00 AM,2018,11,01,01,40.0,37,Good,41.0,PPB,1 Hr,Valid
Abu Dhabi,O3,2018-11-01 02:00 AM,2018,11,01,02,31.0,29,Good,21.0,PPB,1 Hr,Valid
Abu Dhabi,O3,2018-11-01 03:00 AM,2018,11,01,03,26.0,24,Good,23.0,PPB,1 Hr,Valid
Abu Dhabi,O3,2018-11-01 04:00 AM,2018,11,01,04,33.0,31,Good,40.0,PPB,1 Hr,Valid
Abu Dhabi,O3,2018-11-01 05:00 AM,2018,11,01,05,37.0,34,Good,40.0,PPB,1 Hr,Valid
Abu Dhabi,O3,2018-11-01 06:00 AM,2018,11,01,06,32.0,30,Good,27.0,PPB,1 Hr,Valid
Abu Dhabi,O3,2018-11-01 07:00 AM,2018,11,01,07,3.0,3,Good,2.0,PPB,1 Hr,Valid
Abu Dhabi,O3,2018-11-01 08:00 AM,2018,11,01,08,2.0,2,Good,2.0,PPB,1 Hr,Valid
Abu Dhabi,O3,2018-11-01 09:00 AM,2018,11,01,09,7.0,6,Good,7.0,PPB,1 Hr,Valid
Abu Dhabi,O3,2018-11-01 10:00 AM,2018,11,01,10,21.0,19,Good,21.0,PPB,1 Hr,Valid
Abu Dhabi,O3,2018-11-01 11:00 AM,2018,11,01,11,33.0,31,Good,34.0,PPB,1 Hr,Valid
Abu Dhabi,O3,2018-11-01 12:00 PM,2018,11,01,12,42.0,39,Good,43.0,PPB,1 Hr,Valid
Abu Dhabi,O3,2018-11-01 01:00 PM,2018,11,01,13,48.0,44,Good,48.0,PPB,1 Hr,Valid
Abu Dhabi,O3,2018-11-01 02:00 PM,2018,11,01,14,49.0,45,Good,49.0,PPB,1 Hr,Valid
Abu Dhabi,O3,2018-11-01 03:00 PM,2018,11,01,15,52.0,48,Good,52.0,PPB,1 Hr,Valid
Abu Dhabi,O3,2018-11-01 04:00 PM,2018,11,01,16,54.0,50,Good,54.0,PPB,1 Hr,Valid
Abu Dhabi,O3,2018-11-01 05:00 PM,2018,11,01,17,50.0,46,Good,49.0,PPB,1 Hr,Valid
Abu Dhabi,O3,2018-11-01 06:00 PM,2018,11,01,18,49.0,45,Good,47.0,PPB,1 Hr,Valid
Abu Dhabi,O3,2018-11-01 07:00 PM,2018,11,01,19,48.0,44,Good,44.0,PPB,1 Hr,Valid
Abu Dhabi,O3,2018-11-01 08:00 PM,2018,11,01,20,49.0,45,Good,50.0,PPB,1 Hr,Valid
Abu Dhabi,O3,2018-11-01 09:00 PM,2018,11,01,21,46.0,43,Good,40.0,PPB,1 Hr,Valid
Abu Dhabi,O3,2018-11-01 10:00 PM,2018,11,01,22,42.0,39,Good,36.0,PPB,1 Hr,Valid
Abu Dhabi,O3,2018-11-01 11:00 PM,2018,11,01,23,40.0,37,Good,36.0,PPB,1 Hr,Valid
Abu Dhabi,O3,2018-11-02 12:00 AM,2018,11,02,00,38.0,35,Good,35.0,PPB,1 Hr,Valid
Abu Dhabi,O3,2018-11-02 01:00 AM,2018,11,02,01,29.0,27,Good,23.0,PPB,1 Hr,Valid
Abu Dhabi,O3,2018-11-02 02:00 AM,2018,11,02,02,19.0,18,Good,15.0,PPB,1 Hr,Valid
