Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
Abuja,PM2.5 - Principal,2022-06-01 01:00 AM,2022,06,01,01,47.2,130,Unhealthy for Sensitive Groups,44.0,UG/M3,1 Hr,Valid
Abuja,PM2.5 - Principal,2022-06-01 02:00 AM,2022,06,01,02,34.4,98,Moderate,21.7,UG/M3,1 Hr,Valid
Abuja,PM2.5 - Principal,2022-06-01 03:00 AM,2022,06,01,03,27.4,83,Moderate,20.5,UG/M3,1 Hr,Valid
Abuja,PM2.5 - Principal,2022-06-01 04:00 AM,2022,06,01,04,24.5,77,Moderate,21.6,UG/M3,1 Hr,Valid
Abuja,PM2.5 - Principal,2022-06-01 05:00 AM,2022,06,01,05,23.7,75,Moderate,22.9,UG/M3,1 Hr,Valid
Abuja,PM2.5 - Principal,2022-06-01 06:00 AM,2022,06,01,06,24.6,77,Moderate,25.5,UG/M3,1 Hr,Valid
Abuja,PM2.5 - Principal,2022-06-01 07:00 AM,2022,06,01,07,28.7,86,Moderate,32.7,UG/M3,1 Hr,Valid
Abuja,PM2.5 - Principal,2022-06-01 08:00 AM,2022,06,01,08,29.7,88,Moderate,30.7,UG/M3,1 Hr,Valid
Abuja,PM2.5 - Principal,2022-06-01 09:00 AM,2022,06,01,09,27.6,84,Moderate,25.4,UG/M3,1 Hr,Valid
Abuja,PM2.5 - Principal,2022-06-01 10:00 AM,2022,06,01,10,27.1,83,Moderate,26.6,UG/M3,1 Hr,Valid
Abuja,PM2.5 - Principal,2022-06-01 11:00 AM,2022,06,01,11,25.4,79,Moderate,23.7,UG/M3,1 Hr,Valid
Abuja,PM2.5 - Principal,2022-06-01 12:00 PM,2022,06,01,12,21.9,72,Moderate,18.5,UG/M3,1 Hr,Valid
Abuja,PM2.5 - Principal,2022-06-01 01:00 PM,2022,06,01,13,20.3,68,Moderate,17.8,UG/M3,1 Hr,Valid
Abuja,PM2.5 - Principal,2022-06-01 02:00 PM,2022,06,01,14,19.7,67,Moderate,19.1,UG/M3,1 Hr,Valid
Abuja,PM2.5 - Principal,2022-06-01 03:00 PM,2022,06,01,15,19.9,67,Moderate,20.1,UG/M3,1 Hr,Valid
Abuja,PM2.5 - Principal,2022-06-01 04:00 PM,2022,06,01,16,20.7,69,Moderate,21.6,UG/M3,1 Hr,Valid
Abuja,PM2.5 - Principal,2022-06-01 05:00 PM,2022,06,01,17,21.5,71,Moderate,22.5,UG/M3,1 Hr,Valid
Abuja,PM2.5 - Principal,2022-06-01 06:00 PM,2022,06,01,18,20.7,69,Moderate,19.8,UG/M3,1 Hr,Valid
Abuja,PM2.5 - Principal,2022-06-01 07:00 PM,2022,06,01,19,19.6,67,Moderate,18.0,UG/M3,1 Hr,Valid
Abuja,PM2.5 - Principal,2022-06-01 08:00 PM,2022,06,01,20,25.0,78,Moderate,31.9,UG/M3,1 Hr,Valid
Abuja,PM2.5 - Principal,2022-06-01 09:00 PM,2022,06,01,21,30.4,89,Moderate,35.4,UG/M3,1 Hr,Valid
Abuja,PM2.5 - Principal,2022-06-01 10:00 PM,2022,06,01,22,39.8,112,Unhealthy for Sensitive Groups,49.2,UG/M3,1 Hr,Valid
Abuja,PM2.5 - Principal,2022-06-01 11:00 PM,2022,06,01,23,44.1,122,Unhealthy for Sensitive Groups,48.3,UG/M3,1 Hr,Valid
Abuja,PM2.5 - Principal,2022-06-02 12:00 AM,2022,06,02,00,32.1,93,Moderate,20.2,UG/M3,1 Hr,Valid
Abuja,PM2.5 - Principal,2022-06-02 01:00 AM,2022,06,02,01,27.1,83,Moderate,22.1,UG/M3,1 Hr,Valid
Abuja,PM2.5 - Principal,2022-06-02 02:00 AM,2022,06,02,02,22.5,73,Moderate,17.9,UG/M3,1 Hr,Valid
Abuja,PM2.5 - Principal,2022-06-02 03:00 AM,2022,06,02,03,20.2,68,Moderate,17.9,UG/M3,1 Hr,Valid
Abuja,PM2.5 - Principal,2022-06-02 04:00 AM,2022,06,02,04,21.4,71,Moderate,22.6,UG/M3,1 Hr,Valid
Abuja,PM2.5 - Principal,2022-06-02 05:00 AM,2022,06,02,05,18.4,64,Moderate,15.3,UG/M3,1 Hr,Valid
